Pod Name,Type,Iteration,RAM,CPUS,Duration
scheduler-backend-79bbbdb9f9-9klc5,demo_25per.fastq,15,,,
ven4-backend-55c9bf6f8c-cvc9x,demo_75per.fastq,17,8Gi,4,72
ven3-backend-856cdd777f-wk4px,demo.fastq,4,32Gi,8,80
ven8-backend-c8f9bf456-xcgxp,demo_75per.fastq,16,16Gi,6,73
ven1-backend-6f6564689-gxqlf,demo.fastq,4,8Gi,4,89
ven7-backend-7487fcccb9-2pmsh,demo.fastq,1,8Gi,4,90
ven8-backend-c8f9bf456-xcgxp,demo_50per.fastq,8,16Gi,6,52
ven8-backend-c8f9bf456-xcgxp,demo_25per.fastq,10,16Gi,6,32
ven4-backend-55c9bf6f8c-cvc9x,demo_50per.fastq,15,8Gi,4,55
ven5-backend-79b7f7dbf8-8cq7v,demo_50per.fastq,19,16Gi,6,49
ven3-backend-856cdd777f-wk4px,demo_75per.fastq,14,32Gi,8,62
ven8-backend-c8f9bf456-xcgxp,demo_25per.fastq,15,16Gi,6,33
ven6-backend-8c4c7995c-77qf7,demo.fastq,3,32Gi,8,80
scheduler-backend-79bbbdb9f9-9klc5,demo.fastq,12,,,
ven6-backend-8c4c7995c-77qf7,demo.fastq,17,32Gi,8,83
ven10-backend-67c6475b55-bh6c6,demo.fastq,6,8Gi,4,90
ven6-backend-8c4c7995c-77qf7,demo_75per.fastq,12,32Gi,8,69
ven6-backend-8c4c7995c-77qf7,demo_50per.fastq,5,32Gi,8,50
ven9-backend-cf779bf4c-66t8s,demo_75per.fastq,7,32Gi,8,68
ven6-backend-8c4c7995c-77qf7,demo_50per.fastq,16,32Gi,8,55
ven3-backend-856cdd777f-wk4px,demo_25per.fastq,4,32Gi,8,35
ven8-backend-c8f9bf456-xcgxp,demo.fastq,11,16Gi,6,88
ven2-backend-5f8554fc6d-5s4h9,demo.fastq,8,16Gi,6,90
ven10-backend-67c6475b55-bh6c6,demo_75per.fastq,14,8Gi,4,73
scheduler-backend-79bbbdb9f9-9klc5,demo_50per.fastq,3,,,
ven9-backend-cf779bf4c-66t8s,demo_50per.fastq,15,32Gi,8,55
ven7-backend-7487fcccb9-2pmsh,demo_50per.fastq,15,8Gi,4,52
ven2-backend-5f8554fc6d-5s4h9,demo_75per.fastq,10,16Gi,6,85
ven5-backend-79b7f7dbf8-8cq7v,demo_25per.fastq,19,16Gi,6,29
ven8-backend-c8f9bf456-xcgxp,demo_25per.fastq,4,16Gi,6,33
scheduler-backend-79bbbdb9f9-9klc5,demo_25per.fastq,17,,,
ven8-backend-c8f9bf456-xcgxp,demo_75per.fastq,1,16Gi,6,76
scheduler-backend-79bbbdb9f9-9klc5,demo_75per.fastq,14,,,
ven1-backend-6f6564689-gxqlf,demo_75per.fastq,10,8Gi,4,81
ven3-backend-856cdd777f-wk4px,demo_75per.fastq,9,32Gi,8,72
scheduler-backend-79bbbdb9f9-9klc5,demo.fastq,5,,,
ven7-backend-7487fcccb9-2pmsh,demo_25per.fastq,4,8Gi,4,33
scheduler-backend-79bbbdb9f9-9klc5,demo_25per.fastq,10,,,
ven6-backend-8c4c7995c-77qf7,demo_25per.fastq,19,32Gi,8,28
ven10-backend-67c6475b55-bh6c6,demo_50per.fastq,11,8Gi,4,54
ven5-backend-79b7f7dbf8-8cq7v,demo_50per.fastq,15,16Gi,6,50
ven4-backend-55c9bf6f8c-cvc9x,demo_25per.fastq,12,8Gi,4,31
ven6-backend-8c4c7995c-77qf7,demo_25per.fastq,3,32Gi,8,29
ven2-backend-5f8554fc6d-5s4h9,demo.fastq,17,16Gi,6,90
ven10-backend-67c6475b55-bh6c6,demo_50per.fastq,20,8Gi,4,55
ven1-backend-6f6564689-gxqlf,demo_25per.fastq,17,8Gi,4,36
ven9-backend-cf779bf4c-66t8s,demo_50per.fastq,16,32Gi,8,55
ven3-backend-856cdd777f-wk4px,demo_25per.fastq,10,32Gi,8,30
ven2-backend-5f8554fc6d-5s4h9,demo_75per.fastq,6,16Gi,6,70
ven6-backend-8c4c7995c-77qf7,demo.fastq,11,32Gi,8,85
scheduler-backend-79bbbdb9f9-9klc5,demo_25per.fastq,20,,,
ven6-backend-8c4c7995c-77qf7,demo.fastq,7,32Gi,8,86
ven4-backend-55c9bf6f8c-cvc9x,demo.fastq,12,8Gi,4,90
ven5-backend-79b7f7dbf8-8cq7v,demo_50per.fastq,6,16Gi,6,53
ven3-backend-856cdd777f-wk4px,demo_25per.fastq,19,32Gi,8,34
ven2-backend-5f8554fc6d-5s4h9,demo.fastq,7,16Gi,6,90
scheduler-backend-79bbbdb9f9-9klc5,demo_50per.fastq,2,,,
ven10-backend-67c6475b55-bh6c6,demo_75per.fastq,10,8Gi,4,75
ven8-backend-c8f9bf456-xcgxp,demo_75per.fastq,19,16Gi,6,75
ven10-backend-67c6475b55-bh6c6,demo_50per.fastq,3,8Gi,4,52
scheduler-backend-79bbbdb9f9-9klc5,demo_50per.fastq,16,,,
ven3-backend-856cdd777f-wk4px,demo_25per.fastq,12,32Gi,8,28
ven7-backend-7487fcccb9-2pmsh,demo_50per.fastq,4,8Gi,4,52
ven9-backend-cf779bf4c-66t8s,demo_75per.fastq,1,32Gi,8,69
ven7-backend-7487fcccb9-2pmsh,demo_50per.fastq,14,8Gi,4,54
scheduler-backend-79bbbdb9f9-9klc5,demo_25per.fastq,16,,,
ven4-backend-55c9bf6f8c-cvc9x,demo_50per.fastq,11,8Gi,4,56
ven4-backend-55c9bf6f8c-cvc9x,demo_25per.fastq,18,8Gi,4,33
ven6-backend-8c4c7995c-77qf7,demo.fastq,9,32Gi,8,83
ven1-backend-6f6564689-gxqlf,demo_50per.fastq,10,8Gi,4,52
ven1-backend-6f6564689-gxqlf,demo.fastq,6,8Gi,4,92
ven1-backend-6f6564689-gxqlf,demo_75per.fastq,16,8Gi,4,72
ven3-backend-856cdd777f-wk4px,demo.fastq,15,32Gi,8,83
ven8-backend-c8f9bf456-xcgxp,demo.fastq,10,16Gi,6,89
scheduler-backend-79bbbdb9f9-9klc5,demo_25per.fastq,13,,,
ven2-backend-5f8554fc6d-5s4h9,demo_50per.fastq,10,16Gi,6,52
scheduler-backend-79bbbdb9f9-9klc5,demo_50per.fastq,7,,,
ven5-backend-79b7f7dbf8-8cq7v,demo_50per.fastq,10,16Gi,6,53
ven6-backend-8c4c7995c-77qf7,demo_75per.fastq,3,32Gi,8,76
ven7-backend-7487fcccb9-2pmsh,demo_75per.fastq,12,8Gi,4,70
ven10-backend-67c6475b55-bh6c6,demo.fastq,5,8Gi,4,94
ven1-backend-6f6564689-gxqlf,demo_50per.fastq,13,8Gi,4,53
ven6-backend-8c4c7995c-77qf7,demo_75per.fastq,18,32Gi,8,72
ven10-backend-67c6475b55-bh6c6,demo_50per.fastq,7,8Gi,4,53
ven1-backend-6f6564689-gxqlf,demo.fastq,5,8Gi,4,88
ven6-backend-8c4c7995c-77qf7,demo_25per.fastq,15,32Gi,8,33
ven7-backend-7487fcccb9-2pmsh,demo_25per.fastq,15,8Gi,4,40
ven3-backend-856cdd777f-wk4px,demo_75per.fastq,11,32Gi,8,69
ven6-backend-8c4c7995c-77qf7,demo.fastq,19,32Gi,8,97
ven4-backend-55c9bf6f8c-cvc9x,demo_50per.fastq,18,8Gi,4,52
ven3-backend-856cdd777f-wk4px,demo.fastq,8,32Gi,8,82
ven5-backend-79b7f7dbf8-8cq7v,demo_25per.fastq,12,16Gi,6,29
scheduler-backend-79bbbdb9f9-9klc5,demo_75per.fastq,16,,,
ven10-backend-67c6475b55-bh6c6,demo_50per.fastq,9,8Gi,4,53
ven7-backend-7487fcccb9-2pmsh,demo.fastq,18,8Gi,4,91
ven7-backend-7487fcccb9-2pmsh,demo_25per.fastq,3,8Gi,4,32
ven8-backend-c8f9bf456-xcgxp,demo_50per.fastq,17,16Gi,6,53
ven6-backend-8c4c7995c-77qf7,demo_75per.fastq,14,32Gi,8,68
ven5-backend-79b7f7dbf8-8cq7v,demo_75per.fastq,1,16Gi,6,61
ven7-backend-7487fcccb9-2pmsh,demo_25per.fastq,2,8Gi,4,34
ven8-backend-c8f9bf456-xcgxp,demo_25per.fastq,5,16Gi,6,40
ven5-backend-79b7f7dbf8-8cq7v,demo_75per.fastq,9,16Gi,6,68
ven4-backend-55c9bf6f8c-cvc9x,demo_25per.fastq,20,8Gi,4,35
ven1-backend-6f6564689-gxqlf,demo_50per.fastq,12,8Gi,4,53
ven2-backend-5f8554fc6d-5s4h9,demo_50per.fastq,8,16Gi,6,52
ven5-backend-79b7f7dbf8-8cq7v,demo.fastq,14,16Gi,6,79
ven5-backend-79b7f7dbf8-8cq7v,demo.fastq,10,16Gi,6,80
ven3-backend-856cdd777f-wk4px,demo.fastq,5,32Gi,8,79
ven6-backend-8c4c7995c-77qf7,demo.fastq,18,32Gi,8,85
ven2-backend-5f8554fc6d-5s4h9,demo_75per.fastq,3,16Gi,6,76
ven9-backend-cf779bf4c-66t8s,demo_25per.fastq,20,32Gi,8,34
ven4-backend-55c9bf6f8c-cvc9x,demo_50per.fastq,19,8Gi,4,53
ven5-backend-79b7f7dbf8-8cq7v,demo_50per.fastq,4,16Gi,6,52
ven1-backend-6f6564689-gxqlf,demo_50per.fastq,6,8Gi,4,52
ven3-backend-856cdd777f-wk4px,demo.fastq,11,32Gi,8,85
ven9-backend-cf779bf4c-66t8s,demo_75per.fastq,10,32Gi,8,74
ven7-backend-7487fcccb9-2pmsh,demo_25per.fastq,17,8Gi,4,40
scheduler-backend-79bbbdb9f9-9klc5,demo.fastq,10,,,
ven9-backend-cf779bf4c-66t8s,demo_50per.fastq,8,32Gi,8,49
scheduler-backend-79bbbdb9f9-9klc5,demo_75per.fastq,13,,,
ven10-backend-67c6475b55-bh6c6,demo_50per.fastq,15,8Gi,4,57
ven2-backend-5f8554fc6d-5s4h9,demo.fastq,6,16Gi,6,99
ven8-backend-c8f9bf456-xcgxp,demo_75per.fastq,13,16Gi,6,81
ven10-backend-67c6475b55-bh6c6,demo_75per.fastq,5,8Gi,4,75
ven5-backend-79b7f7dbf8-8cq7v,demo_25per.fastq,3,16Gi,6,30
ven9-backend-cf779bf4c-66t8s,demo_25per.fastq,12,32Gi,8,31
ven3-backend-856cdd777f-wk4px,demo_25per.fastq,3,32Gi,8,33
scheduler-backend-79bbbdb9f9-9klc5,demo.fastq,14,,,
ven9-backend-cf779bf4c-66t8s,demo_75per.fastq,9,32Gi,8,64
scheduler-backend-79bbbdb9f9-9klc5,demo_25per.fastq,14,,,
scheduler-backend-79bbbdb9f9-9klc5,demo_50per.fastq,11,,,
ven1-backend-6f6564689-gxqlf,demo_75per.fastq,5,8Gi,4,73
ven6-backend-8c4c7995c-77qf7,demo_50per.fastq,12,32Gi,8,54
ven4-backend-55c9bf6f8c-cvc9x,demo_50per.fastq,4,8Gi,4,52
ven9-backend-cf779bf4c-66t8s,demo.fastq,15,32Gi,8,77
ven1-backend-6f6564689-gxqlf,demo_50per.fastq,5,8Gi,4,52
ven9-backend-cf779bf4c-66t8s,demo_50per.fastq,9,32Gi,8,44
scheduler-backend-79bbbdb9f9-9klc5,demo.fastq,20,,,
ven10-backend-67c6475b55-bh6c6,demo_50per.fastq,13,8Gi,4,56
ven4-backend-55c9bf6f8c-cvc9x,demo_25per.fastq,8,8Gi,4,33
ven2-backend-5f8554fc6d-5s4h9,demo_25per.fastq,16,16Gi,6,33
ven3-backend-856cdd777f-wk4px,demo_75per.fastq,12,32Gi,8,72
ven4-backend-55c9bf6f8c-cvc9x,demo_75per.fastq,6,8Gi,4,76
ven1-backend-6f6564689-gxqlf,demo.fastq,15,8Gi,4,102
ven7-backend-7487fcccb9-2pmsh,demo_25per.fastq,5,8Gi,4,31
ven8-backend-c8f9bf456-xcgxp,demo.fastq,4,16Gi,6,94
ven6-backend-8c4c7995c-77qf7,demo_50per.fastq,11,32Gi,8,48
ven1-backend-6f6564689-gxqlf,demo.fastq,19,8Gi,4,91
ven3-backend-856cdd777f-wk4px,demo.fastq,10,32Gi,8,87
ven9-backend-cf779bf4c-66t8s,demo.fastq,19,32Gi,8,87
ven3-backend-856cdd777f-wk4px,demo.fastq,12,32Gi,8,84
ven8-backend-c8f9bf456-xcgxp,demo_25per.fastq,12,16Gi,6,39
ven4-backend-55c9bf6f8c-cvc9x,demo_50per.fastq,12,8Gi,4,52
ven2-backend-5f8554fc6d-5s4h9,demo_25per.fastq,15,16Gi,6,35
ven2-backend-5f8554fc6d-5s4h9,demo_50per.fastq,18,16Gi,6,61
ven2-backend-5f8554fc6d-5s4h9,demo_25per.fastq,3,16Gi,6,35
ven3-backend-856cdd777f-wk4px,demo_50per.fastq,4,32Gi,8,52
ven4-backend-55c9bf6f8c-cvc9x,demo_25per.fastq,9,8Gi,4,40
ven4-backend-55c9bf6f8c-cvc9x,demo_50per.fastq,10,8Gi,4,59
ven10-backend-67c6475b55-bh6c6,demo_75per.fastq,20,8Gi,4,77
ven5-backend-79b7f7dbf8-8cq7v,demo.fastq,11,16Gi,6,88
ven6-backend-8c4c7995c-77qf7,demo_25per.fastq,14,32Gi,8,29
ven1-backend-6f6564689-gxqlf,demo_75per.fastq,9,8Gi,4,70
ven5-backend-79b7f7dbf8-8cq7v,demo_50per.fastq,8,16Gi,6,43
ven6-backend-8c4c7995c-77qf7,demo.fastq,5,32Gi,8,87
ven9-backend-cf779bf4c-66t8s,demo_25per.fastq,4,32Gi,8,28
ven1-backend-6f6564689-gxqlf,demo_50per.fastq,19,8Gi,4,63
ven9-backend-cf779bf4c-66t8s,demo_50per.fastq,6,32Gi,8,49
scheduler-backend-79bbbdb9f9-9klc5,demo.fastq,16,,,
ven2-backend-5f8554fc6d-5s4h9,demo_25per.fastq,19,16Gi,6,41
ven2-backend-5f8554fc6d-5s4h9,demo.fastq,4,16Gi,6,89
ven4-backend-55c9bf6f8c-cvc9x,demo_75per.fastq,10,8Gi,4,71
ven7-backend-7487fcccb9-2pmsh,demo.fastq,19,8Gi,4,104
ven8-backend-c8f9bf456-xcgxp,demo_25per.fastq,19,16Gi,6,34
ven8-backend-c8f9bf456-xcgxp,demo.fastq,8,16Gi,6,90
ven7-backend-7487fcccb9-2pmsh,demo.fastq,13,8Gi,4,89
ven10-backend-67c6475b55-bh6c6,demo.fastq,9,8Gi,4,89
ven5-backend-79b7f7dbf8-8cq7v,demo_25per.fastq,14,16Gi,6,30
ven1-backend-6f6564689-gxqlf,demo_25per.fastq,9,8Gi,4,36
ven6-backend-8c4c7995c-77qf7,demo_50per.fastq,13,32Gi,8,50
ven2-backend-5f8554fc6d-5s4h9,demo_25per.fastq,17,16Gi,6,33
ven4-backend-55c9bf6f8c-cvc9x,demo_50per.fastq,8,8Gi,4,53
ven5-backend-79b7f7dbf8-8cq7v,demo_50per.fastq,14,16Gi,6,50
ven5-backend-79b7f7dbf8-8cq7v,demo.fastq,12,16Gi,6,81
ven9-backend-cf779bf4c-66t8s,demo_25per.fastq,8,32Gi,8,30
ven4-backend-55c9bf6f8c-cvc9x,demo_50per.fastq,13,8Gi,4,62
ven2-backend-5f8554fc6d-5s4h9,demo_25per.fastq,7,16Gi,6,33
ven4-backend-55c9bf6f8c-cvc9x,demo_75per.fastq,16,8Gi,4,81
ven1-backend-6f6564689-gxqlf,demo_75per.fastq,7,8Gi,4,71
ven3-backend-856cdd777f-wk4px,demo_25per.fastq,20,32Gi,8,31
scheduler-backend-79bbbdb9f9-9klc5,demo.fastq,11,,,
ven1-backend-6f6564689-gxqlf,demo_75per.fastq,12,8Gi,4,71
ven10-backend-67c6475b55-bh6c6,demo.fastq,13,8Gi,4,91
ven6-backend-8c4c7995c-77qf7,demo_25per.fastq,13,32Gi,8,28
ven8-backend-c8f9bf456-xcgxp,demo_50per.fastq,9,16Gi,6,52
ven2-backend-5f8554fc6d-5s4h9,demo_25per.fastq,1,16Gi,6,39
ven4-backend-55c9bf6f8c-cvc9x,demo.fastq,2,8Gi,4,96
ven5-backend-79b7f7dbf8-8cq7v,demo.fastq,15,16Gi,6,83
ven9-backend-cf779bf4c-66t8s,demo_50per.fastq,12,32Gi,8,51
ven7-backend-7487fcccb9-2pmsh,demo_50per.fastq,5,8Gi,4,54
ven9-backend-cf779bf4c-66t8s,demo.fastq,5,32Gi,8,85
ven3-backend-856cdd777f-wk4px,demo_75per.fastq,6,32Gi,8,64
ven10-backend-67c6475b55-bh6c6,demo_50per.fastq,2,8Gi,4,53
ven3-backend-856cdd777f-wk4px,demo_50per.fastq,13,32Gi,8,48
ven4-backend-55c9bf6f8c-cvc9x,demo_50per.fastq,5,8Gi,4,54
ven8-backend-c8f9bf456-xcgxp,demo_50per.fastq,16,16Gi,6,56
ven10-backend-67c6475b55-bh6c6,demo_75per.fastq,15,8Gi,4,74
ven7-backend-7487fcccb9-2pmsh,demo_50per.fastq,20,8Gi,4,57
ven7-backend-7487fcccb9-2pmsh,demo_75per.fastq,7,8Gi,4,73
scheduler-backend-79bbbdb9f9-9klc5,demo_75per.fastq,12,,,
ven4-backend-55c9bf6f8c-cvc9x,demo_75per.fastq,8,8Gi,4,77
ven8-backend-c8f9bf456-xcgxp,demo_25per.fastq,2,16Gi,6,33
ven7-backend-7487fcccb9-2pmsh,demo_25per.fastq,8,8Gi,4,32
ven2-backend-5f8554fc6d-5s4h9,demo_50per.fastq,13,16Gi,6,52
ven6-backend-8c4c7995c-77qf7,demo_50per.fastq,14,32Gi,8,52
ven8-backend-c8f9bf456-xcgxp,demo_25per.fastq,7,16Gi,6,39
ven7-backend-7487fcccb9-2pmsh,demo.fastq,10,8Gi,4,89
ven1-backend-6f6564689-gxqlf,demo_75per.fastq,2,8Gi,4,71
ven9-backend-cf779bf4c-66t8s,demo.fastq,6,32Gi,8,84
ven3-backend-856cdd777f-wk4px,demo_50per.fastq,2,32Gi,8,55
ven2-backend-5f8554fc6d-5s4h9,demo_50per.fastq,11,16Gi,6,58
ven10-backend-67c6475b55-bh6c6,demo_50per.fastq,17,8Gi,4,61
ven7-backend-7487fcccb9-2pmsh,demo_25per.fastq,12,8Gi,4,33
ven5-backend-79b7f7dbf8-8cq7v,demo_50per.fastq,3,16Gi,6,48
ven8-backend-c8f9bf456-xcgxp,demo.fastq,14,16Gi,6,102
ven9-backend-cf779bf4c-66t8s,demo.fastq,2,32Gi,8,80
ven1-backend-6f6564689-gxqlf,demo_75per.fastq,17,8Gi,4,77
scheduler-backend-79bbbdb9f9-9klc5,demo_50per.fastq,5,,,
ven9-backend-cf779bf4c-66t8s,demo_25per.fastq,14,32Gi,8,29
ven6-backend-8c4c7995c-77qf7,demo.fastq,12,32Gi,8,82
ven2-backend-5f8554fc6d-5s4h9,demo_75per.fastq,18,16Gi,6,75
ven2-backend-5f8554fc6d-5s4h9,demo_75per.fastq,12,16Gi,6,71
ven6-backend-8c4c7995c-77qf7,demo_75per.fastq,6,32Gi,8,72
ven3-backend-856cdd777f-wk4px,demo_25per.fastq,15,32Gi,8,33
ven4-backend-55c9bf6f8c-cvc9x,demo_25per.fastq,13,8Gi,4,34
ven2-backend-5f8554fc6d-5s4h9,demo.fastq,1,16Gi,6,90
ven4-backend-55c9bf6f8c-cvc9x,demo.fastq,20,8Gi,4,93
ven3-backend-856cdd777f-wk4px,demo.fastq,7,32Gi,8,81
ven10-backend-67c6475b55-bh6c6,demo_50per.fastq,16,8Gi,4,54
ven2-backend-5f8554fc6d-5s4h9,demo_25per.fastq,8,16Gi,6,32
ven3-backend-856cdd777f-wk4px,demo_75per.fastq,2,32Gi,8,69
ven1-backend-6f6564689-gxqlf,demo_50per.fastq,17,8Gi,4,56
ven1-backend-6f6564689-gxqlf,demo_50per.fastq,14,8Gi,4,53
ven7-backend-7487fcccb9-2pmsh,demo.fastq,8,8Gi,4,97
ven6-backend-8c4c7995c-77qf7,demo.fastq,1,32Gi,8,79
ven7-backend-7487fcccb9-2pmsh,demo_75per.fastq,2,8Gi,4,74
ven10-backend-67c6475b55-bh6c6,demo_50per.fastq,12,8Gi,4,58
ven4-backend-55c9bf6f8c-cvc9x,demo_75per.fastq,14,8Gi,4,74
ven6-backend-8c4c7995c-77qf7,demo_75per.fastq,13,32Gi,8,71
ven3-backend-856cdd777f-wk4px,demo_25per.fastq,7,32Gi,8,35
scheduler-backend-79bbbdb9f9-9klc5,demo_25per.fastq,9,,,
ven3-backend-856cdd777f-wk4px,demo_25per.fastq,9,32Gi,8,36
ven7-backend-7487fcccb9-2pmsh,demo_50per.fastq,6,8Gi,4,51
ven4-backend-55c9bf6f8c-cvc9x,demo_75per.fastq,2,8Gi,4,75
ven2-backend-5f8554fc6d-5s4h9,demo_25per.fastq,4,16Gi,6,32
ven5-backend-79b7f7dbf8-8cq7v,demo_75per.fastq,18,16Gi,6,69
ven4-backend-55c9bf6f8c-cvc9x,demo_50per.fastq,6,8Gi,4,52
ven1-backend-6f6564689-gxqlf,demo_75per.fastq,4,8Gi,4,69
scheduler-backend-79bbbdb9f9-9klc5,demo.fastq,6,,,
ven7-backend-7487fcccb9-2pmsh,demo_50per.fastq,11,8Gi,4,53
ven5-backend-79b7f7dbf8-8cq7v,demo_50per.fastq,1,16Gi,6,45
ven7-backend-7487fcccb9-2pmsh,demo_75per.fastq,16,8Gi,4,71
ven1-backend-6f6564689-gxqlf,demo_50per.fastq,16,8Gi,4,54
ven6-backend-8c4c7995c-77qf7,demo_75per.fastq,19,32Gi,8,77
ven7-backend-7487fcccb9-2pmsh,demo_75per.fastq,11,8Gi,4,72
ven5-backend-79b7f7dbf8-8cq7v,demo_50per.fastq,5,16Gi,6,45
ven5-backend-79b7f7dbf8-8cq7v,demo_25per.fastq,18,16Gi,6,29
ven5-backend-79b7f7dbf8-8cq7v,demo_25per.fastq,10,16Gi,6,30
ven8-backend-c8f9bf456-xcgxp,demo_75per.fastq,18,16Gi,6,76
ven3-backend-856cdd777f-wk4px,demo_50per.fastq,7,32Gi,8,53
ven1-backend-6f6564689-gxqlf,demo_50per.fastq,15,8Gi,4,55
ven4-backend-55c9bf6f8c-cvc9x,demo.fastq,1,8Gi,4,93
ven9-backend-cf779bf4c-66t8s,demo_75per.fastq,17,32Gi,8,64
ven4-backend-55c9bf6f8c-cvc9x,demo_25per.fastq,19,8Gi,4,40
ven8-backend-c8f9bf456-xcgxp,demo.fastq,19,16Gi,6,91
scheduler-backend-79bbbdb9f9-9klc5,demo_75per.fastq,6,,,
ven2-backend-5f8554fc6d-5s4h9,demo_75per.fastq,9,16Gi,6,71
ven10-backend-67c6475b55-bh6c6,demo.fastq,15,8Gi,4,91
ven5-backend-79b7f7dbf8-8cq7v,demo.fastq,2,16Gi,6,81
ven4-backend-55c9bf6f8c-cvc9x,demo_75per.fastq,4,8Gi,4,81
ven9-backend-cf779bf4c-66t8s,demo_25per.fastq,1,32Gi,8,32
ven3-backend-856cdd777f-wk4px,demo_75per.fastq,4,32Gi,8,61
ven9-backend-cf779bf4c-66t8s,demo_50per.fastq,19,32Gi,8,55
ven8-backend-c8f9bf456-xcgxp,demo_50per.fastq,11,16Gi,6,58
ven7-backend-7487fcccb9-2pmsh,demo_25per.fastq,18,8Gi,4,34
ven4-backend-55c9bf6f8c-cvc9x,demo_25per.fastq,14,8Gi,4,35
ven6-backend-8c4c7995c-77qf7,demo_25per.fastq,16,32Gi,8,32
ven6-backend-8c4c7995c-77qf7,demo_50per.fastq,1,32Gi,8,51
ven2-backend-5f8554fc6d-5s4h9,demo.fastq,20,16Gi,6,90
ven4-backend-55c9bf6f8c-cvc9x,demo.fastq,11,8Gi,4,89
ven3-backend-856cdd777f-wk4px,demo_50per.fastq,20,32Gi,8,52
ven4-backend-55c9bf6f8c-cvc9x,demo_25per.fastq,4,8Gi,4,33
ven2-backend-5f8554fc6d-5s4h9,demo_25per.fastq,12,16Gi,6,34
ven2-backend-5f8554fc6d-5s4h9,demo_50per.fastq,1,16Gi,6,53
ven7-backend-7487fcccb9-2pmsh,demo_75per.fastq,13,8Gi,4,71
scheduler-backend-79bbbdb9f9-9klc5,demo_25per.fastq,11,,,
ven10-backend-67c6475b55-bh6c6,demo_25per.fastq,9,8Gi,4,33
ven1-backend-6f6564689-gxqlf,demo_50per.fastq,4,8Gi,4,52
ven8-backend-c8f9bf456-xcgxp,demo_50per.fastq,19,16Gi,6,61
ven9-backend-cf779bf4c-66t8s,demo_75per.fastq,3,32Gi,8,72
ven8-backend-c8f9bf456-xcgxp,demo_75per.fastq,10,16Gi,6,78
ven9-backend-cf779bf4c-66t8s,demo_25per.fastq,3,32Gi,8,32
scheduler-backend-79bbbdb9f9-9klc5,demo_25per.fastq,12,,,
ven8-backend-c8f9bf456-xcgxp,demo_75per.fastq,14,16Gi,6,79
ven4-backend-55c9bf6f8c-cvc9x,demo_75per.fastq,13,8Gi,4,71
ven10-backend-67c6475b55-bh6c6,demo_75per.fastq,1,8Gi,4,73
ven9-backend-cf779bf4c-66t8s,demo_25per.fastq,10,32Gi,8,28
ven3-backend-856cdd777f-wk4px,demo_25per.fastq,6,32Gi,8,28
ven1-backend-6f6564689-gxqlf,demo_75per.fastq,20,8Gi,4,77
ven1-backend-6f6564689-gxqlf,demo_25per.fastq,7,8Gi,4,39
ven1-backend-6f6564689-gxqlf,demo_25per.fastq,1,8Gi,4,39
scheduler-backend-79bbbdb9f9-9klc5,demo_50per.fastq,8,,,
ven6-backend-8c4c7995c-77qf7,demo_25per.fastq,5,32Gi,8,29
ven1-backend-6f6564689-gxqlf,demo_25per.fastq,14,8Gi,4,33
ven7-backend-7487fcccb9-2pmsh,demo_25per.fastq,16,8Gi,4,34
ven10-backend-67c6475b55-bh6c6,demo_25per.fastq,14,8Gi,4,38
scheduler-backend-79bbbdb9f9-9klc5,demo_75per.fastq,4,,,
scheduler-backend-79bbbdb9f9-9klc5,demo_75per.fastq,1,,,
ven1-backend-6f6564689-gxqlf,demo_25per.fastq,13,8Gi,4,33
ven7-backend-7487fcccb9-2pmsh,demo_25per.fastq,7,8Gi,4,33
ven5-backend-79b7f7dbf8-8cq7v,demo.fastq,8,16Gi,6,80
scheduler-backend-79bbbdb9f9-9klc5,demo_75per.fastq,15,,,
ven9-backend-cf779bf4c-66t8s,demo.fastq,12,32Gi,8,86
ven8-backend-c8f9bf456-xcgxp,demo_50per.fastq,20,16Gi,6,52
ven3-backend-856cdd777f-wk4px,demo_75per.fastq,5,32Gi,8,70
ven1-backend-6f6564689-gxqlf,demo_75per.fastq,3,8Gi,4,70
ven3-backend-856cdd777f-wk4px,demo_75per.fastq,17,32Gi,8,74
scheduler-backend-79bbbdb9f9-9klc5,demo_25per.fastq,2,,,
ven2-backend-5f8554fc6d-5s4h9,demo_25per.fastq,11,16Gi,6,31
ven10-backend-67c6475b55-bh6c6,demo_25per.fastq,16,8Gi,4,34
ven6-backend-8c4c7995c-77qf7,demo_25per.fastq,6,32Gi,8,29
scheduler-backend-79bbbdb9f9-9klc5,demo.fastq,1,,,
ven10-backend-67c6475b55-bh6c6,demo.fastq,2,8Gi,4,92
ven7-backend-7487fcccb9-2pmsh,demo_50per.fastq,16,8Gi,4,62
ven10-backend-67c6475b55-bh6c6,demo.fastq,8,8Gi,4,87
ven6-backend-8c4c7995c-77qf7,demo_75per.fastq,9,32Gi,8,67
ven9-backend-cf779bf4c-66t8s,demo_50per.fastq,3,32Gi,8,50
ven10-backend-67c6475b55-bh6c6,demo_25per.fastq,8,8Gi,4,32
ven1-backend-6f6564689-gxqlf,demo_75per.fastq,15,8Gi,4,70
ven7-backend-7487fcccb9-2pmsh,demo_50per.fastq,1,8Gi,4,55
ven8-backend-c8f9bf456-xcgxp,demo_25per.fastq,6,16Gi,6,34
scheduler-backend-79bbbdb9f9-9klc5,demo.fastq,19,,,
ven10-backend-67c6475b55-bh6c6,demo.fastq,3,8Gi,4,94
