Pod Name,Type,Iteration,RAM,CPUS,Duration
ven4-backend-55c9bf6f8c-cvc9x,demo_50per.fastq,16,8Gi,4,61
ven6-backend-8c4c7995c-77qf7,demo_25per.fastq,1,32Gi,8,34
ven7-backend-7487fcccb9-2pmsh,demo_75per.fastq,20,8Gi,4,85
ven6-backend-8c4c7995c-77qf7,demo_25per.fastq,17,32Gi,8,30
ven6-backend-8c4c7995c-77qf7,demo_75per.fastq,7,32Gi,8,80
scheduler-backend-79bbbdb9f9-9klc5,demo.fastq,8,,,
ven5-backend-79b7f7dbf8-8cq7v,demo.fastq,3,16Gi,6,88
ven8-backend-c8f9bf456-xcgxp,demo_50per.fastq,1,16Gi,6,58
ven3-backend-856cdd777f-wk4px,demo_50per.fastq,16,32Gi,8,51
scheduler-backend-79bbbdb9f9-9klc5,demo.fastq,17,,,
ven9-backend-cf779bf4c-66t8s,demo_75per.fastq,18,32Gi,8,68
ven6-backend-8c4c7995c-77qf7,demo.fastq,16,32Gi,8,86
ven9-backend-cf779bf4c-66t8s,demo.fastq,14,32Gi,8,84
ven10-backend-67c6475b55-bh6c6,demo_75per.fastq,7,8Gi,4,83
ven3-backend-856cdd777f-wk4px,demo_75per.fastq,18,32Gi,8,69
ven2-backend-5f8554fc6d-5s4h9,demo_50per.fastq,6,16Gi,6,53
ven10-backend-67c6475b55-bh6c6,demo.fastq,11,8Gi,4,90
ven2-backend-5f8554fc6d-5s4h9,demo_50per.fastq,4,16Gi,6,52
ven3-backend-856cdd777f-wk4px,demo_25per.fastq,18,32Gi,8,32
ven6-backend-8c4c7995c-77qf7,demo_25per.fastq,18,32Gi,8,28
ven9-backend-cf779bf4c-66t8s,demo_75per.fastq,11,32Gi,8,69
scheduler-backend-79bbbdb9f9-9klc5,demo_25per.fastq,19,,,
ven4-backend-55c9bf6f8c-cvc9x,demo.fastq,3,8Gi,4,88
ven7-backend-7487fcccb9-2pmsh,demo_50per.fastq,12,8Gi,4,55
ven5-backend-79b7f7dbf8-8cq7v,demo_50per.fastq,7,16Gi,6,44
ven8-backend-c8f9bf456-xcgxp,demo_25per.fastq,14,16Gi,6,38
scheduler-backend-79bbbdb9f9-9klc5,demo_75per.fastq,9,,,
scheduler-backend-79bbbdb9f9-9klc5,demo_75per.fastq,5,,,
scheduler-backend-79bbbdb9f9-9klc5,demo_50per.fastq,13,,,
ven6-backend-8c4c7995c-77qf7,demo_50per.fastq,4,32Gi,8,50
ven7-backend-7487fcccb9-2pmsh,demo_50per.fastq,13,8Gi,4,54
ven3-backend-856cdd777f-wk4px,demo.fastq,14,32Gi,8,84
ven4-backend-55c9bf6f8c-cvc9x,demo_75per.fastq,5,8Gi,4,74
ven8-backend-c8f9bf456-xcgxp,demo.fastq,1,16Gi,6,91
ven3-backend-856cdd777f-wk4px,demo.fastq,20,32Gi,8,83
ven2-backend-5f8554fc6d-5s4h9,demo.fastq,9,16Gi,6,88
ven5-backend-79b7f7dbf8-8cq7v,demo_25per.fastq,9,16Gi,6,32
ven1-backend-6f6564689-gxqlf,demo_50per.fastq,9,8Gi,4,52
ven1-backend-6f6564689-gxqlf,demo_25per.fastq,5,8Gi,4,37
ven4-backend-55c9bf6f8c-cvc9x,demo_50per.fastq,20,8Gi,4,61
ven10-backend-67c6475b55-bh6c6,demo.fastq,16,8Gi,4,102
ven1-backend-6f6564689-gxqlf,demo_25per.fastq,20,8Gi,4,33
ven9-backend-cf779bf4c-66t8s,demo_50per.fastq,10,32Gi,8,52
ven1-backend-6f6564689-gxqlf,demo_50per.fastq,8,8Gi,4,64
ven4-backend-55c9bf6f8c-cvc9x,demo_75per.fastq,19,8Gi,4,71
ven1-backend-6f6564689-gxqlf,demo_25per.fastq,15,8Gi,4,34
ven4-backend-55c9bf6f8c-cvc9x,demo.fastq,9,8Gi,4,88
ven3-backend-856cdd777f-wk4px,demo.fastq,9,32Gi,8,88
ven2-backend-5f8554fc6d-5s4h9,demo_25per.fastq,20,16Gi,6,33
ven6-backend-8c4c7995c-77qf7,demo_75per.fastq,20,32Gi,8,71
ven9-backend-cf779bf4c-66t8s,demo.fastq,17,32Gi,8,86
ven10-backend-67c6475b55-bh6c6,demo_25per.fastq,6,8Gi,4,34
ven5-backend-79b7f7dbf8-8cq7v,demo_50per.fastq,20,16Gi,6,44
ven5-backend-79b7f7dbf8-8cq7v,demo_75per.fastq,17,16Gi,6,60
ven4-backend-55c9bf6f8c-cvc9x,demo_50per.fastq,1,8Gi,4,53
scheduler-backend-79bbbdb9f9-9klc5,demo_75per.fastq,20,,,
scheduler-backend-79bbbdb9f9-9klc5,demo.fastq,3,,,
ven6-backend-8c4c7995c-77qf7,demo_25per.fastq,4,32Gi,8,35
ven8-backend-c8f9bf456-xcgxp,demo_25per.fastq,18,16Gi,6,33
ven9-backend-cf779bf4c-66t8s,demo.fastq,9,32Gi,8,85
ven6-backend-8c4c7995c-77qf7,demo_75per.fastq,2,32Gi,8,62
ven10-backend-67c6475b55-bh6c6,demo_50per.fastq,18,8Gi,4,53
ven6-backend-8c4c7995c-77qf7,demo_75per.fastq,11,32Gi,8,68
ven8-backend-c8f9bf456-xcgxp,demo_50per.fastq,4,16Gi,6,52
ven4-backend-55c9bf6f8c-cvc9x,demo.fastq,6,8Gi,4,100
ven8-backend-c8f9bf456-xcgxp,demo_75per.fastq,12,16Gi,6,71
scheduler-backend-79bbbdb9f9-9klc5,demo_25per.fastq,4,,,
ven1-backend-6f6564689-gxqlf,demo_25per.fastq,12,8Gi,4,34
ven1-backend-6f6564689-gxqlf,demo_50per.fastq,3,8Gi,4,54
ven10-backend-67c6475b55-bh6c6,demo_75per.fastq,12,8Gi,4,74
ven4-backend-55c9bf6f8c-cvc9x,demo_50per.fastq,3,8Gi,4,53
scheduler-backend-79bbbdb9f9-9klc5,demo.fastq,2,,,
scheduler-backend-79bbbdb9f9-9klc5,demo_50per.fastq,12,,,
ven10-backend-67c6475b55-bh6c6,demo_25per.fastq,1,8Gi,4,38
ven4-backend-55c9bf6f8c-cvc9x,demo_25per.fastq,1,8Gi,4,34
ven5-backend-79b7f7dbf8-8cq7v,demo_75per.fastq,13,16Gi,6,65
ven7-backend-7487fcccb9-2pmsh,demo_75per.fastq,5,8Gi,4,73
ven4-backend-55c9bf6f8c-cvc9x,demo_25per.fastq,10,8Gi,4,32
